Client ID,Age,"Gender 
1: Female, 2: Male",County,Income Group,
79,27,1,Clare,10001 - 40000,
80,39,1,Dublin,40001 - 60000,
81,41,0,Dublin,60001 - 100000,
82,61,0,Dublin,60001 - 100000,
83,48,0,Meath,60001 - 100000,
84,36,1,Dublin,60001 - 100000,
85,28,1,Cork,10001 - 40000,
86,53,1,Waterford,60001 - 100000,
87,61,0,Cork,60001 - 100000,
88,27,0,Kerry,10001 - 40000,
89,38,1,Mayo,100000+,
90,32,0,Cork,10001 - 40000,
91,54,0,Dublin,10001 - 40000,
92,41,1,Cork,10001 - 40000,
93,70,1,Dublin,10001 - 40000,
94,23,1,Kerry,40001 - 60000,
95,65,0,Cork,10001 - 40000,
96,38,1,Cork,10001 - 40000,
97,50,0,Kerry,10001 - 40000,
98,57,0,Carlow,10001 - 40000,
99,46,0,Dublin,40001 - 60000,
100,28,0,Offaly,10001 - 40000,
101,46,0,Dublin,10001 - 40000,
102,28,0,Wicklow,60001 - 100000,
103,29,1,Kerry,40001 - 60000,
104,64,1,Wicklow,40001 - 60000,
105,44,1,D€blin,10001 - 40000,
106,69,0,Clare,10001 - 40000,
107,52,M,Cork,10001 - 40000,
108,25,0,Dublin,10001 - 40000,
109,52,0,Dublin,40001 - 60000,
110,66,0,Tipperary,10001 - 40000,
111,37,0,Galway,10001 - 40000,
112,29,1,Leitrim,10001 - 40000,
113,52,1,Dublin,10001 - 40000,
114,24,0,Longford,10001 - 40000,
115,45,1,Meath,10001 - 40000,
116,58,1,Monaghan,0 - 10000,
117,51,0,Dublin,100000+,
118,56,0,Dublin,100000+,
119,58,1,Cork,10001 - 40000,
120,65,0,Cork,10001 - 40000,
121,44,0,Waterford,60001 - 100000,
122,53,1,Dublin,40001 - 60000,
123,24,0,Dublin,100000+,
124,30,1,Kerry,60001 - 100000,
125,44,1,Limerick,10001 - 40000,
126,25,0,Kerry,10001 - 40000,
127,64,1,Tipperary,10001 - 40000,
128,49,0,Dublin,10001 - 40000,
129,70,1,Dublin,10001 - 40000,
130,24,1,Longford,40001 - 60000,
131,46,0,Dublin,10001 - 40000,
132,63,0,Dublin,100000+,
133,40,0,Dublin,10001 - 40000,
134,41,0,Cork,10001 - 40000,
135,44,Male,Monaghan,10001 - 40000,
136,63,1,Cork,60001 - 100000,
137,56,1,Dublin,10001 - 40000,
138,52,0,Dublin,10001 - 40000,
139,42,1,Waterford,10001 - 40000,
140,42,1,Dublin,10001 - 40000,
141,62,0,Dublin,10001 - 40000,
142,41,1,Dublin,10001 - 40000,
143,65,1,Louth,10001 - 40000,
144,63,1,Dublin,60001 - 100000,
145,23,0,Longford,40001 - 60000,
146,59,1,Offaly,100000+,
147,51,0,Dublin,10001 - 40000,
148,40,1,Cork,0 - 10000,
149,42,1,Donegal,40001 - 60000,
150,22,0,Donegal,10001 - 40000,
151,32,1,Dublin,40001 - 60000,
152,21,0,Dublin,10001 - 40000,
153,20,0,Dublin,10001 - 40000,
154,45,1,Dublin,10001 - 40000,
155,26,1,Offaly,10001 - 40000,
156,28,0,Leitrim,100000+,
157,34,1,Cork,10001 - 40000,
158,49,0,Cavan,10001 - 40000,
159,58,0,Mayo,10001 - 40000,
160,44,1,Clare,10001 - 40000,
161,31,1,Longford,10001 - 40000,
162,37,1,Dublin,10001 - 40000,
163,21,0,Limerick,10001 - 40000,
164,29,0,Dublin,10001 - 40000,
165,31,1,Cork,10001 - 40000,
166,57,0,Louth,10001 - 40000,
167,27,0,Dublin,100000+,
168,44,1,Dublin,10001 - 40000,
169,34,1,Dublin,100000+,
170,50,1,Laois,40001 - 60000,
171,69,1,Kildare,60001 - 100000,
172,27,1,Dublin,100000+,
173,39,0,Tipperary,10001 - 40000,
174,62,1,Dublin,10001 - 40000,
175,57,1,Dublin,10001 - 40000,
176,31,0,Meath,100000+,
177,60,0,Dublin,60001 - 100000,
178,40,0,Cork,100000+,
179,38,0,Dublin,10001 - 40000,
180,21,0,Cork,10001 - 40000,
181,31,0,Offaly,10001 - 40000,
182,56,1,Dublin,10001 - 40000,
183,36,0,Leitrim,10001 - 40000,
184,46,1,Dublin,60001 - 100000,
185,20,1,Clare,10001 - 40000,
186,47,0,Cork,10001 - 40000,
187,56,0,Cork,60001 - 100000,
188,53,0,Leitrim,10001 - 40000,
189,63,1,Dublin,60001 - 100000,
190,44,0,Dublin,100000+,
191,40,1,Clare,100000+,
192,46,0,Cork,10001 - 40000,
193,53,1,D€blin,10001 - 40000,
194,47,1,Cork,10001 - 40000,
195,53,1,Dublin,100000+,
196,27,0,Dublin,10001 - 40000,
197,55,1,Kilkenny,100000+,
198,54,0,Clare,10001 - 40000,
199,35,1,Cork,40001 - 60000,
200,67,1,Limerick,10001 - 40000,
201,29,1,Monaghan,10001 - 40000,
202,48,0,Offaly,10001 - 40000,
203,67,0,Dublin,10001 - 40000,
204,55,1,Cork,10001 - 40000,
205,41,1,Dublin,60001 - 100000,
206,60,1,Cork,60001 - 100000,
207,61,f,Dublin,100000+,
208,46,1,Dublin,10001 - 40000,
209,48,1,Dublin,40001 - 60000,
210,70,0,Dublin,10001 - 40000,
211,66,1,Offaly,10001 - 40000,
212,69,1,Cork,10001 - 40000,
213,43,1,Cork,60001 - 100000,
214,62,1,Dublin,100000+,
215,64,0,Dublin,60001 - 100000,
216,44,1,Cavan,10001 - 40000,
217,20,1,Dublin,10001 - 40000,
218,64,1,Monaghan,60001 - 100000,
219,66,0,Cork,10001 - 40000,
220,34,1,Dublin,60001 - 100000,
221,34,1,Dublin,10001 - 40000,
222,20,fem,Waterford,60001 - 100000,
223,49,0,Dublin,60001 - 100000,
224,53,1,Dublin,10001 - 40000,
225,36,0,Carlow,10001 - 40000,
226,54,0,Dublin,10001 - 40000,
227,41,0,Cork,60001 - 100000,
228,22,1,Dublin,10001 - 40000,
229,65,0,Dublin,10001 - 40000,
230,54,1,Dublin,10001 - 40000,
231,30,0,Dublin,10001 - 40000,
232,55,1,Dublin,60001 - 100000,
233,32,1,Clare,10001 - 40000,
234,44,1,Dublin,10001 - 40000,
235,25,1,Dublin,10001 - 40000,
236,55,0,Cork,10001 - 40000,
237,57,1,Cork,10001 - 40000,
238,56,1,Kerry,40001 - 60000,
239,20,0,Cork,10001 - 40000,
240,42,0,Cork,10001 - 40000,
241,57,0,Clare,60001 - 100000,
242,38,0,Dublin,60001 - 100000,
243,65,1,Waterford,10001 - 40000,
244,52,1,Louth,60001 - 100000,
245,30,0,Offaly,10001 - 40000,
246,34,1,Cavan,60001 - 100000,
247,38,1,Dublin,10001 - 40000,
248,38,0,Dublin,60001 - 100000,
249,22,1,Galway,40001 - 60000,
250,45,1,Tipperary,40001 - 60000,
251,26,0,Dublin,10001 - 40000,
252,34,0,Cork,10001 - 40000,
253,29,0,Cork,60001 - 100000,
254,23,0,Dublin,10001 - 40000,
255,41,1,Donegal,10001 - 40000,
256,42,1,Cavan,100000+,
257,22,0,Clare,60001 - 100000,
258,69,0,Louth,10001 - 40000,
259,54,1,Meath,10001 - 40000,
260,27,0,Offaly,10001 - 40000,
261,67,1,Dublin,10001 - 40000,
262,27,0,Dublin,10001 - 40000,
263,23,1,Dublin,10001 - 40000,
264,22,0,Mayo,10001 - 40000,
265,28,0,D€blin,10001 - 40000,
266,22,0,Dublin,10001 - 40000,
267,65,1,Navan,10001 - 40000,
268,42,1,Dublin,10001 - 40000,
269,29,1,Dublin,10001 - 40000,
270,44,0,Mayo,10001 - 40000,
271,64,1,Kilkenny,10001 - 40000,
272,57,0,Dublin,10001 - 40000,
273,35,0,Dublin,10001 - 40000,
274,51,1,Dublin,60001 - 100000,
275,22,1,Dublin,60001 - 100000,
276,55,0,Dublin,40001 - 60000,
277,45,0,Dublin,10001 - 40000,
278,48,0,Dublin,10001 - 40000,
279,46,0,Wicklow,10001 - 40000,
280,52,1,Cork,10001 - 40000,
281,48,0,Dublin,60001 - 100000,
282,20,0,Dublin,60001 - 100000,
283,67,1,Dublin,10001 - 40000,
284,45,1,Dublin,10001 - 40000,
285,65,1,Longford,10001 - 40000,
286,47,1,Longford,10001 - 40000,
287,49,1,Carlow,10001 - 40000,
288,64,0,Dublin,10001 - 40000,
289,55,1,Mayo,10001 - 40000,
290,51,1,Mayo,10001 - 40000,
291,29,0,Tipperary,60001 - 100000,
292,40,0,Kerry,0 - 10000,
293,26,0,Laois,40001 - 60000,
294,64,0,Galway,10001 - 40000,
295,43,1,Dublin,100000+,
296,39,1,Dublin,10001 - 40000,
297,61,1,Tipperary,10001 - 40000,
298,66,0,Dublin,10001 - 40000,
299,70,0,Dublin,10001 - 40000,
300,27,1,Louth,100000+,
301,61,1,Offaly,100000+,
302,68,1,Laois,60001 - 100000,
303,20,1,Dublin,10001 - 40000,
304,64,1,Dublin,40001 - 60000,
305,70,0,Tipperary,0 - 10000,
306,56,0,Cork,40001 - 60000,
307,22,0,Clare,10001 - 40000,
308,55,1,Mayo,60001 - 100000,
309,58,0,Kilkenny,40001 - 60000,
310,64,1,Dublin,10001 - 40000,
311,59,1,Tipperary,40001 - 60000,
312,50,0,Laois,10001 - 40000,
313,29,0,Dublin,10001 - 40000,
314,21,0,Dublin,40001 - 60000,
315,22,0,Kildare,10001 - 40000,
316,45,1,Dublin,10001 - 40000,
317,51,0,Kerry,40001 - 60000,
318,35,1,Louth,10001 - 40000,
319,64,1,Dublin,60001 - 100000,
320,45,1,Dublin,40001 - 60000,
321,40,1,Dublin,10001 - 40000,
322,56,0,Cork,10001 - 40000,
323,37,1,Borris,10001 - 40000,
324,55,1,Dublin,0 - 10000,
325,41,1,Clare,10001 - 40000,
326,48,1,Waterford,60001 - 100000,
327,45,1,Cork,10001 - 40000,
328,61,0,Dublin,10001 - 40000,
329,53,1,Dublin,10001 - 40000,
330,44,1,Louth,10001 - 40000,
331,66,0,Kildare,10001 - 40000,
332,52,0,Offaly,10001 - 40000,
333,26,0,Dublin,100000+,
334,68,0,Dublin,40001 - 60000,
335,63,1,Offaly,10001 - 40000,
336,47,1,Cork,10001 - 40000,
337,67,1,Dublin,10001 - 40000,
338,31,0,Waterford,60001 - 100000,
339,51,0,Dublin,10001 - 40000,
340,20,0,Donegal,10001 - 40000,
341,25,1,Dublin,10001 - 40000,
342,27,1,Dublin,60001 - 100000,
343,29,1,Dublin,100000+,
344,46,1,Cork,60001 - 100000,
345,70,1,Cork,40001 - 60000,
346,58,0,Dublin,0 - 10000,
347,52,1,Galway,40001 - 60000,
348,51,0,Dublin,60001 - 100000,
349,41,0,Dublin,60001 - 100000,
350,60,1,Laois,10001 - 40000,
351,58,0,Dublin,10001 - 40000,
352,29,1,Clare,60001 - 100000,
353,67,1,Offaly,10001 - 40000,
354,33,1,Dublin,100000+,
355,31,1,Dublin,100000+,
356,37,0,Clare,10001 - 40000,
357,57,0,Dublin,10001 - 40000,
358,46,1,Offaly,40001 - 60000,
359,64,1,Dublin,60001 - 100000,
360,33,0,Kilkenny,40001 - 60000,
361,20,1,Dublin,40001 - 60000,
362,24,0,Dublin,10001 - 40000,
363,25,1,Dublin,10001 - 40000,
364,34,1,Dublin,10001 - 40000,
365,62,1,Carlow,40001 - 60000,
366,44,1,Louth,60001 - 100000,
367,26,0,Dublin,100000+,
368,52,1,Dublin,60001 - 100000,
369,69,1,Dublin,10001 - 40000,
370,35,0,Dublin,60001 - 100000,
371,45,0,Dublin,40001 - 60000,
372,52,1,Wicklow,10001 - 40000,
373,63,1,Dublin,10001 - 40000,
374,55,1,Cork,10001 - 40000,
375,34,1,Dublin,0 - 10000,
376,26,0,Kildare,10001 - 40000,
377,31,1,Dublin,100000+,
378,41,1,Dublin,10001 - 40000,
379,39,1,Laois,10001 - 40000,
380,60,0,Longford,10001 - 40000,
381,66,1,Sandyford,10001 - 40000,
382,30,0,Dublin,10001 - 40000,
383,24,1,Dublin,60001 - 100000,
384,20,1,Dublin,10001 - 40000,
385,58,1,Laois,10001 - 40000,
386,31,0,Limerick,60001 - 100000,
387,35,1,Monaghan,10001 - 40000,
388,55,1,Dublin,60001 - 100000,
389,24,1,Dublin,10001 - 40000,
390,66,1,Dublin,10001 - 40000,
391,28,0,Dublin,60001 - 100000,
392,32,0,Cork,10001 - 40000,
393,59,1,Monaghan,10001 - 40000,
394,37,0,Dublin,40001 - 60000,
395,56,0,Cork,60001 - 100000,
396,48,1,Dublin,40001 - 60000,
397,69,0,Louth,10001 - 40000,
398,22,0,Dublin,10001 - 40000,
399,66,1,Kildare,40001 - 60000,
400,60,0,Louth,10001 - 40000,
401,27,0,Cavan,10001 - 40000,
402,53,1,Carlow,40001 - 60000,
403,36,0,Dublin,40001 - 60000,
404,23,0,Kilkenny,10001 - 40000,
405,45,1,Waterford,40001 - 60000,
406,60,0,Tipperary,60001 - 100000,
407,55,1,Dublin,10001 - 40000,
408,49,0,Dublin,60001 - 100000,
409,70,0,Galway,40001 - 60000,
410,64,0,Dublin,100000+,
411,49,1,Dublin,10001 - 40000,
412,47,0,Donegal,60001 - 100000,
413,24,1,Cork,0 - 10000,
414,32,1,Dublin,10001 - 40000,
415,68,1,Wicklow,10001 - 40000,
416,33,0,Dublin,10001 - 40000,
417,28,0,Clare,40001 - 60000,
418,29,1,Dublin,60001 - 100000,
419,63,0,Cork,10001 - 40000,
420,53,1,Dublin,10001 - 40000,
421,32,1,Longford,60001 - 100000,
422,54,0,Laois,10001 - 40000,
423,58,1,Clare,40001 - 60000,
424,69,0,Carlow,10001 - 40000,
425,45,1,Monaghan,100000+,
426,49,0,Galway,100000+,
427,36,1,Dublin,60001 - 100000,
428,51,1,Waterford,60001 - 100000,
429,58,0,Dublin,10001 - 40000,
430,25,1,Tipperary,10001 - 40000,
431,24,1,Dublin,60001 - 100000,
432,70,1,Dublin,10001 - 40000,
433,66,1,Cork,60001 - 100000,
434,54,0,Dublin,40001 - 60000,
435,61,1,Longford,10001 - 40000,
436,23,0,Leitrim,10001 - 40000,
437,31,1,Cork,10001 - 40000,
438,26,0,Dublin,10001 - 40000,
439,26,0,Kildare,10001 - 40000,
440,45,0,Dublin,10001 - 40000,
441,44,0,Dublin,100000+,
442,34,1,Offaly,0 - 10000,
443,49,1,Dublin,10001 - 40000,
444,24,0,Dublin,10001 - 40000,
445,45,1,Cork,10001 - 40000,
446,31,0,Dublin,10001 - 40000,
447,43,1,Dublin,10001 - 40000,
448,51,1,Clare,10001 - 40000,
449,60,0,Dublin,10001 - 40000,
450,37,1,Meath,10001 - 40000,
451,49,1,Cavan,10001 - 40000,
452,31,0,Cork,60001 - 100000,
453,28,0,Offaly,100000+,
454,69,0,Dublin,10001 - 40000,
455,52,1,Dublin,10001 - 40000,
456,70,1,Dublin,100000+,
457,50,0,Dublin,100000+,
458,26,1,Dublin,10001 - 40000,
459,20,1,Clare,10001 - 40000,
460,23,1,Dublin,40001 - 60000,
461,21,1,Dublin,40001 - 60000,
462,41,0,Dublin,60001 - 100000,
463,52,1,Donegal,40001 - 60000,
464,33,1,Dublin,40001 - 60000,
465,66,0,Dublin,100000+,
466,34,1,Dublin,10001 - 40000,
467,38,1,Clare,40001 - 60000,
468,32,0,Leitrim,10001 - 40000,
469,23,1,Dublin,10001 - 40000,
470,44,0,Dublin,10001 - 40000,
471,36,0,Dublin,40001 - 60000,
472,58,0,Dublin,10001 - 40000,
473,63,0,Dublin,10001 - 40000,
474,25,0,Dublin,10001 - 40000,
475,39,0,Tipperary,60001 - 100000,
476,31,0,Dublin,10001 - 40000,
477,20,0,Kerry,60001 - 100000,
478,20,0,Meath,10001 - 40000,
479,20,1,Mayo,10001 - 40000,
480,69,1,Cork,10001 - 40000,
481,46,0,Wicklow,10001 - 40000,
482,45,0,Cork,10001 - 40000,
483,67,1,Dublin,10001 - 40000,
484,51,1,Monaghan,100000+,
485,36,1,Dublin,100000+,
486,40,1,Dublin,40001 - 60000,
487,53,1,Kildare,0 - 10000,
488,55,1,Donegal,60001 - 100000,
489,45,1,Dublin,40001 - 60000,
490,20,0,Dublin,10001 - 40000,
491,26,1,Mayo,100000+,
492,37,0,Cork,10001 - 40000,
493,61,1,Dublin,60001 - 100000,
494,60,0,Leitrim,100000+,
495,46,0,Dublin,10001 - 40000,
496,54,1,Cork,10001 - 40000,
497,28,1,Galway,100000+,
498,34,0,Galway,10001 - 40000,
499,25,1,Dublin,60001 - 100000,
500,22,0,Kerry,10001 - 40000,
501,61,0,Dublin,60001 - 100000,
502,37,0,Dublin,0 - 10000,
503,44,1,Dublin,60001 - 100000,
504,62,0,Cork,10001 - 40000,
505,69,0,Wicklow,10001 - 40000,
506,48,1,Dublin,100000+,
507,27,0,Carlow,10001 - 40000,
508,41,1,Louth,10001 - 40000,
509,36,1,Dublin,60001 - 100000,
510,59,1,Dublin,10001 - 40000,
511,52,1,Cork,0 - 10000,
512,46,1,Longford,10001 - 40000,
513,46,1,Cork,100000+,
514,23,1,Dublin,10001 - 40000,
515,50,0,Dublin,10001 - 40000,
516,25,1,Waterford,10001 - 40000,
517,41,0,Dublin,40001 - 60000,
518,58,0,Dublin,40001 - 60000,
519,55,1,Dublin,10001 - 40000,
520,24,0,Monaghan,60001 - 100000,
521,38,0,Dublin,10001 - 40000,
522,57,0,Dublin,40001 - 60000,
523,24,0,Dublin,10001 - 40000,
524,43,0,Maynooth,10001 - 40000,
525,50,1,Cork,60001 - 100000,
526,62,0,Kildare,40001 - 60000,
527,33,0,Dublin,10001 - 40000,
528,50,0,Clare,60001 - 100000,
529,57,1,Carlow,40001 - 60000,
530,41,1,Dublin,10001 - 40000,
531,66,1,Cavan,60001 - 100000,
532,51,1,Tipperary,10001 - 40000,
533,42,0,Dublin,60001 - 100000,
534,63,0,Donegal,10001 - 40000,
535,53,0,Dublin,10001 - 40000,
536,23,0,Dublin,60001 - 100000,
537,68,1,Dublin,10001 - 40000,
538,69,0,Donegal,10001 - 40000,
539,21,0,Dublin,10001 - 40000,
540,46,0,Dublin,40001 - 60000,
541,60,1,Cork,60001 - 100000,
542,42,0,Cavan,0 - 10000,
543,25,0,Wicklow,40001 - 60000,
544,34,0,Cork,60001 - 100000,
545,27,0,Offaly,10001 - 40000,
546,36,1,Dublin,0 - 10000,
547,70,1,Louth,10001 - 40000,
548,48,1,Cork,10001 - 40000,
549,59,0,Cork,40001 - 60000,
550,35,1,Dublin,40001 - 60000,
551,51,1,Meath,100000+,
552,67,1,Monaghan,100000+,
553,68,1,Dublin,10001 - 40000,
554,52,0,Dublin,10001 - 40000,
555,32,0,Louth,10001 - 40000,
556,41,1,Mayo,60001 - 100000,
557,42,0,Clare,40001 - 60000,
558,41,0,Dublin,60001 - 100000,
559,40,1,Dublin,40001 - 60000,
560,38,0,Meath,60001 - 100000,
561,38,0,Meath,10001 - 40000,
562,41,0,Dublin,60001 - 100000,
563,51,1,Dublin,10001 - 40000,
564,26,1,Cork,10001 - 40000,
565,45,0,Cavan,0 - 10000,
566,21,1,Cork,10001 - 40000,
567,27,0,Dublin,60001 - 100000,
568,52,0,Cavan,10001 - 40000,
569,49,1,Portlaoise,40001 - 60000,
570,27,1,Dublin,60001 - 100000,
571,27,1,Wicklow,100000+,
572,63,0,Cork,40001 - 60000,
573,27,1,Mayo,60001 - 100000,
574,36,1,Dublin,10001 - 40000,
575,36,0,Dublin,10001 - 40000,
576,58,0,Wicklow,10001 - 40000,
577,20,1,Wicklow,10001 - 40000,
578,34,0,Limerick,10001 - 40000,
579,62,0,Dublin,60001 - 100000,
580,38,1,Dublin,10001 - 40000,
581,50,0,Cork,60001 - 100000,
582,43,0,Longford,10001 - 40000,
583,36,1,Cork,10001 - 40000,
584,48,1,Dublin,10001 - 40000,
585,42,0,Dublin,10001 - 40000,
586,52,1,Tipperary,60001 - 100000,
587,49,1,Meath,40001 - 60000,
588,24,1,Dublin,0 - 10000,
589,45,1,Dublin,40001 - 60000,
590,43,0,Mayo,0 - 10000,
591,68,0,Dublin,10001 - 40000,
592,56,0,Dublin,100000+,
593,28,0,Cork,60001 - 100000,
594,34,1,Limerick,60001 - 100000,
595,26,1,Waterford,10001 - 40000,
596,60,0,Dublin,60001 - 100000,
597,45,0,Dublin,60001 - 100000,
598,70,1,Dublin,10001 - 40000,
599,34,0,Dublin,40001 - 60000,
600,45,1,Dublin,10001 - 40000,
601,42,0,Wicklow,60001 - 100000,
602,50,1,Meath,10001 - 40000,
603,26,0,Dublin,60001 - 100000,
604,49,0,Cork,60001 - 100000,
605,43,0,Galway,60001 - 100000,
606,23,1,Meath,100000+,
607,65,1,Dublin,40001 - 60000,
608,69,1,Dublin,10001 - 40000,
609,51,0,Dublin,60001 - 100000,
610,45,1,Cork,10001 - 40000,
611,61,1,Louth,10001 - 40000,
612,56,0,Mayo,10001 - 40000,
613,41,0,Dublin,10001 - 40000,
614,49,1,Cork,10001 - 40000,
615,28,0,Cork,10001 - 40000,
616,46,0,Dublin,100000+,
617,67,0,Offaly,10001 - 40000,
618,40,1,Dublin,10001 - 40000,
619,57,0,Dublin,10001 - 40000,
620,54,1,Carlow,10001 - 40000,
621,22,0,Mayo,10001 - 40000,
622,40,1,Dublin,60001 - 100000,
623,47,0,Kildare,10001 - 40000,
624,20,0,Galway,10001 - 40000,
625,41,1,Dublin,10001 - 40000,
626,25,0,Cork,10001 - 40000,
627,50,1,Dublin,10001 - 40000,
628,66,0,Dublin,10001 - 40000,
629,23,0,Cork,100000+,
630,64,1,Kerry,40001 - 60000,
631,23,1,Kilkenny,40001 - 60000,
632,66,0,Dublin,10001 - 40000,
633,48,1,Offaly,10001 - 40000,
634,38,0,Cork,10001 - 40000,
635,54,0,Dublin,10001 - 40000,
636,59,1,Dublin,10001 - 40000,
637,68,1,Dublin,60001 - 100000,
638,39,0,Clare,100000+,
639,20,0,Dublin,60001 - 100000,
640,39,1,Cork,10001 - 40000,
641,64,0,Offaly,40001 - 60000,
642,28,0,Dublin,10001 - 40000,
643,47,1,Dublin,10001 - 40000,
644,51,1,Dublin,60001 - 100000,
645,40,0,Offaly,10001 - 40000,
646,27,1,Leitrim,10001 - 40000,
647,33,0,Carlow,0 - 10000,
648,58,0,Dublin,10001 - 40000,
649,21,1,Dublin,10001 - 40000,
650,53,1,Wicklow,10001 - 40000,
651,36,1,Cork,0 - 10000,
652,54,1,Dublin,100000+,
653,27,0,Louth,10001 - 40000,
654,37,1,Trim,100000+,
655,60,1,Dublin,10001 - 40000,
656,36,0,Dublin,10001 - 40000,
657,52,0,Cork,10001 - 40000,
658,39,1,Dublin,60001 - 100000,
659,59,1,Dublin,10001 - 40000,
660,61,0,Wicklow,100000+,
661,45,1,Dublin,60001 - 100000,
662,24,1,Meath,10001 - 40000,
663,22,1,Dublin,10001 - 40000,
664,48,1,Tipperary,10001 - 40000,
665,20,1,Dublin,60001 - 100000,
666,56,1,Cork,40001 - 60000,
667,32,0,Louth,10001 - 40000,
668,70,0,Dublin,10001 - 40000,
669,54,0,Offaly,10001 - 40000,
670,69,0,Kildare,100000+,
671,57,0,Dublin,100000+,
672,21,1,Cork,40001 - 60000,
673,25,0,Dublin,0 - 10000,
674,43,1,Louth,10001 - 40000,
675,64,0,Monaghan,40001 - 60000,
676,52,0,Cork,100000+,
677,24,1,Dublin,60001 - 100000,
678,61,1,Dublin,10001 - 40000,
679,46,1,Donegal,10001 - 40000,
680,49,1,Wicklow,10001 - 40000,
681,28,0,Cavan,100000+,
682,49,0,Louth,10001 - 40000,
683,45,1,Mayo,10001 - 40000,
684,57,0,Kildare,100000+,
685,41,1,Leitrim,60001 - 100000,
686,58,1,Dublin,10001 - 40000,
687,51,0,Dublin,60001 - 100000,
688,33,1,Clare,0 - 10000,
689,70,1,Dublin,10001 - 40000,
690,29,0,Louth,0 - 10000,
691,34,1,Dublin,60001 - 100000,
692,33,0,Dublin,10001 - 40000,
693,46,1,Dublin,10001 - 40000,
694,27,1,Clare,10001 - 40000,
695,26,1,Kilkenny,100000+,
696,37,0,Dublin,10001 - 40000,
697,56,0,Meath,0 - 10000,
698,33,0,Dublin,10001 - 40000,
699,24,1,Dublin,10001 - 40000,
700,46,1,Dublin,60001 - 100000,
701,21,1,Cork,10001 - 40000,
702,32,1,Leitrim,10001 - 40000,
703,67,0,Dublin,10001 - 40000,
704,30,1,Mayo,10001 - 40000,
705,62,0,Dublin,10001 - 40000,
706,42,0,Dublin,100000+,
707,48,0,Galway,10001 - 40000,
708,39,0,Dublin,10001 - 40000,
709,46,1,Mayo,60001 - 100000,
710,64,0,Limerick,10001 - 40000,
711,60,0,Donegal,10001 - 40000,
712,39,0,Donegal,10001 - 40000,
713,35,1,Monaghan,10001 - 40000,
714,47,0,Dublin,10001 - 40000,
715,39,0,Dublin,10001 - 40000,
716,52,1,Dublin,60001 - 100000,
