time	period	CT	effort	o_matter	mud	silt	clay	turbidity	temperature	Abundance	TaxonID
3	2	0	0	1.65	31.49	20.07	11.42	8.78	12.74	49	2
3	2	0	0	1.38	28.57	17.80	10.77	9.55	12.70	38	2
3	2	0	0	1.40	35.17	18.91	16.26	8.78	12.70	57	2
3	2	1	0.2	1.21	35.94	21.45	14.49	1.87	12.91	25	2
3	2	1	0.2	1.39	33.40	19.93	13.47	0.33	12.86	16	2
3	2	1	0.2	2.01	33.20	20.33	12.87	0.33	12.89	46	2
3	2	1	0.2	1.59	38.36	23.68	14.68	0.33	12.87	35	2
3	2	1	0.2	1.59	36.29	21.95	14.34	0.33	12.91	52	2
4	2	0	0	1.14	35.67	22.25	13.42	NA	NA	23	2
4	2	0	0	1.41	30.88	19.30	11.58	NA	NA	33	2
4	2	0	0	1.21	42.71	30.81	11.90	NA	NA	46	2
4	2	0	0	1.72	30.80	18.57	12.24	NA	NA	45	2
4	2	0	0	1.47	37.94	17.71	20.23	NA	NA	53	2
4	2	1	0	1.76	37.51	23.47	14.04	NA	NA	24	2
4	2	1	0	1.50	40.39	19.35	21.04	NA	NA	41	2
4	2	1	0	1.37	37.10	21.97	15.13	NA	NA	30	2
4	2	1	0	1.37	37.25	22.13	15.12	NA	NA	25	2
4	2	1	0	1.56	48.40	24.98	23.42	NA	NA	33	2
5	2	0	0	1.14	27.44	15.94	11.50	2.636084217	14.05	39	2
5	2	0	0	1.41	32.80	19.51	13.29	2.636084217	14.04	60	2
5	2	0	0	1.21	37.05	20.21	16.83	2.636084217	14.06	49	2
5	2	0	0	1.72	34.35	20.54	13.81	2.636084217	14.08	36	2
5	2	0	0	1.45	32.11	19.15	12.95	2.636084217	14.05	26	2
5	2	1	0	1.76	35.24	19.57	15.67	3.404487475	14.15	35	2
5	2	1	0	1.50	49.29	24.39	24.90	0.330874443	14.13	29	2
5	2	1	0	1.37	36.92	19.18	17.74	1.099277701	14.14	38	2
5	2	1	0	1.37	41.37	21.04	20.33	0.330874443	14.15	27	2
5	2	1	0	1.56	39.73	20.68	19.06	2.636084217	14.06	34	2
6	3	0	0	1.25	33.67	20.51	13.16	0	15.45	44	2
6	3	0	0	1.50	36.39	19.22	17.17	0.330874443	14.99	62	2
6	3	0	0	1.44	31.05	18.37	12.69	0.330874443	15.19	50	2
6	3	0	0	1.71	32.69	19.92	12.77	1.099277701	15.86	58	2
6	3	0	0	1.45	35.70	18.02	17.68	0	14.95	48	2
6	3	1	0.82	1.55	33.76	16.94	16.82	0.330874443	15.92	42	2
6	3	1	0.82	1.08	36.30	19.16	17.14	0.330874443	15.61	41	2
6	3	1	0.82	1.62	40.77	22.17	18.61	0.330874443	15.84	26	2
6	3	1	0.82	1.50	37.57	19.33	18.24	0.330874443	15.92	48	2
6	3	1	0.82	1.51	43.09	22.67	20.41	0.330874443	16.08	58	2
7	3	0	0	1.16	36.00	21.09	14.91	NA	14.50	66	2
7	3	0	0	1.24	38.46	21.34	17.12	NA	14.41	55	2
7	3	0	0	1.67	36.70	21.50	15.20	NA	14.63	67	2
7	3	0	0	1.48	33.00	18.79	14.20	NA	14.89	75	2
7	3	0	0	1.63	37.19	17.71	19.48	NA	13.68	75	2
7	3	1	1.02	1.69	40.23	20.66	19.57	NA	14.40	29	2
7	3	1	1.02	1.38	38.59	20.66	17.92	NA	14.60	38	2
7	3	1	1.02	1.69	29.62	15.04	14.58	NA	13.86	50	2
7	3	1	1.02	1.35	34.18	18.54	15.63	NA	14.03	36	2
7	3	1	1.02	1.32	35.72	18.13	17.59	NA	14.69	35	2
8	3	0	0	1.46	36.86	22.22	14.64	3.40	11.01	56	2
8	3	0	0	1.65	35.84	23.53	12.31	3.40	11.00	54	2
8	3	0	0	1.67	36.55	24.89	11.67	3.40	11.00	47	2
8	3	0	0	1.31	35.92	17.18	18.74	3.40	11.00	48	2
8	3	0	0	1.26	35.64	23.86	11.79	3.40	10.99	43	2
8	3	1	1.81	1.13	39.91	25.23	14.68	4.17	10.97	26	2
8	3	1	1.81	0.89	39.96	23.88	16.08	4.17	10.99	52	2
8	3	1	1.81	1.22	39.81	25.03	14.79	4.94	10.99	40	2
8	3	1	1.81	1.43	39.78	24.52	15.27	4.17	10.98	49	2
8	3	1	1.81	1.61	39.83	24.68	15.14	4.17	10.99	24	2
1	1	0	0	1.16	35.27	25.10	10.16	5.71	10.50	2	3
1	1	0	0	1.38	34.46	21.94	12.52	9.55	10.60	1	3
1	1	0	0	1.84	38.39	23.46	14.94	8.01	10.59	3	3
1	1	0	0	1.62	30.71	17.72	12.99	8.01	10.65	2	3
1	1	0	0	1.62	32.59	23.31	9.27	8.78	10.65	8	3
1	1	1	1.71	2.13	43.39	29.20	14.19	9.55	10.79	4	3
1	1	1	1.71	1.78	39.42	26.53	12.90	9.55	10.75	2	3
1	1	1	1.71	1.87	43.29	22.98	20.31	7.25	10.77	0	3
1	1	1	1.71	1.56	41.31	22.20	19.11	8.01	10.79	2	3
1	1	1	1.71	1.15	37.95	26.36	11.59	8.01	10.78	0	3
2	1	0	0	1.07	31.47	19.11	12.36	8.01	11.66	1	3
2	1	0	0	1.62	33.71	18.01	15.70	7.25	11.62	1	3
2	1	0	0	1.55	28.85	18.74	10.11	7.25	11.60	0	3
2	1	0	0	1.45	28.89	15.27	13.62	8.01	11.58	0	3
2	1	0	0	1.41	34.20	19.53	14.67	8.01	11.60	1	3
2	1	1	1.1	1.13	43.91	22.95	20.95	11.86	11.46	1	3
2	1	1	1.1	1.54	38.68	23.09	15.60	10.32	11.42	2	3
2	1	1	1.1	1.42	50.13	23.79	26.33	8.78	11.41	0	3
2	1	1	1.1	1.66	31.78	16.13	15.66	11.09	11.43	0	3
2	1	1	1.1	1.62	44.46	22.22	22.23	10.32	11.42	0	3
3	2	0	0	1.04	32.07	19.56	12.51	9.55	12.68	2	3
3	2	0	0	1.38	36.06	21.99	14.06	8.78	12.70	1	3
3	2	0	0	1.65	31.49	20.07	11.42	8.78	12.74	2	3
3	2	0	0	1.38	28.57	17.80	10.77	9.55	12.70	2	3
3	2	0	0	1.40	35.17	18.91	16.26	8.78	12.70	3	3
3	2	1	0.2	1.21	35.94	21.45	14.49	1.87	12.91	1	3
3	2	1	0.2	1.39	33.40	19.93	13.47	0.33	12.86	0	3
3	2	1	0.2	2.01	33.20	20.33	12.87	0.33	12.89	2	3
3	2	1	0.2	1.59	38.36	23.68	14.68	0.33	12.87	0	3
3	2	1	0.2	1.59	36.29	21.95	14.34	0.33	12.91	2	3
4	2	0	0	1.14	35.67	22.25	13.42	NA	NA	0	3
4	2	0	0	1.41	30.88	19.30	11.58	NA	NA	0	3
4	2	0	0	1.21	42.71	30.81	11.90	NA	NA	2	3
4	2	0	0	1.72	30.80	18.57	12.24	NA	NA	2	3
4	2	0	0	1.47	37.94	17.71	20.23	NA	NA	1	3
4	2	1	0	1.76	37.51	23.47	14.04	NA	NA	2	3
4	2	1	0	1.50	40.39	19.35	21.04	NA	NA	4	3
4	2	1	0	1.37	37.10	21.97	15.13	NA	NA	0	3
4	2	1	0	1.37	37.25	22.13	15.12	NA	NA	0	3
4	2	1	0	1.56	48.40	24.98	23.42	NA	NA	1	3
5	2	0	0	1.14	27.44	15.94	11.50	2.636084217	14.05	5	3
5	2	0	0	1.41	32.80	19.51	13.29	2.636084217	14.04	4	3
5	2	0	0	1.21	37.05	20.21	16.83	2.636084217	14.06	8	3
5	2	0	0	1.72	34.35	20.54	13.81	2.636084217	14.08	5	3
5	2	0	0	1.45	32.11	19.15	12.95	2.636084217	14.05	2	3
5	2	1	0	1.76	35.24	19.57	15.67	3.404487475	14.15	1	3
5	2	1	0	1.50	49.29	24.39	24.90	0.330874443	14.13	0	3
5	2	1	0	1.37	36.92	19.18	17.74	1.099277701	14.14	5	3
5	2	1	0	1.37	41.37	21.04	20.33	0.330874443	14.15	1	3
5	2	1	0	1.56	39.73	20.68	19.06	2.636084217	14.06	2	3
6	3	0	0	1.25	33.67	20.51	13.16	0	15.45	1	3
6	3	0	0	1.50	36.39	19.22	17.17	0.330874443	14.99	3	3
6	3	0	0	1.44	31.05	18.37	12.69	0.330874443	15.19	1	3
6	3	0	0	1.71	32.69	19.92	12.77	1.099277701	15.86	6	3
6	3	0	0	1.45	35.70	18.02	17.68	0	14.95	4	3
6	3	1	0.82	1.55	33.76	16.94	16.82	0.330874443	15.92	2	3
6	3	1	0.82	1.08	36.30	19.16	17.14	0.330874443	15.61	1	3
6	3	1	0.82	1.62	40.77	22.17	18.61	0.330874443	15.84	0	3
6	3	1	0.82	1.50	37.57	19.33	18.24	0.330874443	15.92	0	3
6	3	1	0.82	1.51	43.09	22.67	20.41	0.330874443	16.08	1	3
7	3	0	0	1.16	36.00	21.09	14.91	NA	14.50	7	3
7	3	0	0	1.24	38.46	21.34	17.12	NA	14.41	3	3
7	3	0	0	1.67	36.70	21.50	15.20	NA	14.63	4	3
7	3	0	0	1.48	33.00	18.79	14.20	NA	14.89	6	3
7	3	0	0	1.63	37.19	17.71	19.48	NA	13.68	4	3
7	3	1	1.02	1.69	40.23	20.66	19.57	NA	14.40	2	3
7	3	1	1.02	1.38	38.59	20.66	17.92	NA	14.60	4	3
7	3	1	1.02	1.69	29.62	15.04	14.58	NA	13.86	6	3
7	3	1	1.02	1.35	34.18	18.54	15.63	NA	14.03	3	3
7	3	1	1.02	1.32	35.72	18.13	17.59	NA	14.69	2	3
8	3	0	0	1.46	36.86	22.22	14.64	3.40	11.01	6	3
8	3	0	0	1.65	35.84	23.53	12.31	3.40	11.00	1	3
8	3	0	0	1.67	36.55	24.89	11.67	3.40	11.00	2	3
8	3	0	0	1.31	35.92	17.18	18.74	3.40	11.00	0	3
8	3	0	0	1.26	35.64	23.86	11.79	3.40	10.99	0	3
8	3	1	1.81	1.13	39.91	25.23	14.68	4.17	10.97	2	3
8	3	1	1.81	0.89	39.96	23.88	16.08	4.17	10.99	4	3
8	3	1	1.81	1.22	39.81	25.03	14.79	4.94	10.99	3	3
8	3	1	1.81	1.43	39.78	24.52	15.27	4.17	10.98	3	3
8	3	1	1.81	1.61	39.83	24.68	15.14	4.17	10.99	2	3
1	1	0	0	1.16	35.27	25.10	10.16	5.71	10.50	17	4
1	1	0	0	1.38	34.46	21.94	12.52	9.55	10.60	17	4
1	1	0	0	1.84	38.39	23.46	14.94	8.01	10.59	3	4
1	1	0	0	1.62	30.71	17.72	12.99	8.01	10.65	28	4
1	1	0	0	1.62	32.59	23.31	9.27	8.78	10.65	28	4
1	1	1	1.71	2.13	43.39	29.20	14.19	9.55	10.79	1	4
1	1	1	1.71	1.78	39.42	26.53	12.90	9.55	10.75	15	4
1	1	1	1.71	1.87	43.29	22.98	20.31	7.25	10.77	2	4
1	1	1	1.71	1.56	41.31	22.20	19.11	8.01	10.79	1	4
1	1	1	1.71	1.15	37.95	26.36	11.59	8.01	10.78	23	4
2	1	0	0	1.07	31.47	19.11	12.36	8.01	11.66	8	4
2	1	0	0	1.62	33.71	18.01	15.70	7.25	11.62	6	4
2	1	0	0	1.55	28.85	18.74	10.11	7.25	11.60	7	4
2	1	0	0	1.45	28.89	15.27	13.62	8.01	11.58	12	4
2	1	0	0	1.41	34.20	19.53	14.67	8.01	11.60	9	4
2	1	1	1.1	1.13	43.91	22.95	20.95	11.86	11.46	18	4
2	1	1	1.1	1.54	38.68	23.09	15.60	10.32	11.42	16	4
2	1	1	1.1	1.42	50.13	23.79	26.33	8.78	11.41	15	4
2	1	1	1.1	1.66	31.78	16.13	15.66	11.09	11.43	30	4
2	1	1	1.1	1.62	44.46	22.22	22.23	10.32	11.42	28	4
3	2	0	0	1.04	32.07	19.56	12.51	9.55	12.68	17	4
3	2	0	0	1.38	36.06	21.99	14.06	8.78	12.70	9	4
3	2	0	0	1.65	31.49	20.07	11.42	8.78	12.74	18	4
3	2	0	0	1.38	28.57	17.80	10.77	9.55	12.70	14	4
3	2	0	0	1.40	35.17	18.91	16.26	8.78	12.70	24	4
3	2	1	0.2	1.21	35.94	21.45	14.49	1.87	12.91	55	4
3	2	1	0.2	1.39	33.40	19.93	13.47	0.33	12.86	51	4
3	2	1	0.2	2.01	33.20	20.33	12.87	0.33	12.89	29	4
3	2	1	0.2	1.59	38.36	23.68	14.68	0.33	12.87	28	4
3	2	1	0.2	1.59	36.29	21.95	14.34	0.33	12.91	25	4
4	2	0	0	1.14	35.67	22.25	13.42	NA	NA	12	4
4	2	0	0	1.41	30.88	19.30	11.58	NA	NA	20	4
4	2	0	0	1.21	42.71	30.81	11.90	NA	NA	34	4
4	2	0	0	1.72	30.80	18.57	12.24	NA	NA	24	4
4	2	0	0	1.47	37.94	17.71	20.23	NA	NA	3	4
4	2	1	0	1.76	37.51	23.47	14.04	NA	NA	37	4
4	2	1	0	1.50	40.39	19.35	21.04	NA	NA	18	4
4	2	1	0	1.37	37.10	21.97	15.13	NA	NA	34	4
4	2	1	0	1.37	37.25	22.13	15.12	NA	NA	42	4
4	2	1	0	1.56	48.40	24.98	23.42	NA	NA	36	4
5	2	0	0	1.14	27.44	15.94	11.50	2.636084217	14.05	43	4
5	2	0	0	1.41	32.80	19.51	13.29	2.636084217	14.04	21	4
5	2	0	0	1.21	37.05	20.21	16.83	2.636084217	14.06	48	4
5	2	0	0	1.72	34.35	20.54	13.81	2.636084217	14.08	35	4
5	2	0	0	1.45	32.11	19.15	12.95	2.636084217	14.05	42	4
5	2	1	0	1.76	35.24	19.57	15.67	3.404487475	14.15	33	4
5	2	1	0	1.50	49.29	24.39	24.90	0.330874443	14.13	29	4
5	2	1	0	1.37	36.92	19.18	17.74	1.099277701	14.14	30	4
5	2	1	0	1.37	41.37	21.04	20.33	0.330874443	14.15	22	4
5	2	1	0	1.56	39.73	20.68	19.06	2.636084217	14.06	29	4
6	3	0	0	1.25	33.67	20.51	13.16	0	15.45	26	4
6	3	0	0	1.50	36.39	19.22	17.17	0.330874443	14.99	7	4
6	3	0	0	1.44	31.05	18.37	12.69	0.330874443	15.19	32	4
6	3	0	0	1.71	32.69	19.92	12.77	1.099277701	15.86	23	4
6	3	0	0	1.45	35.70	18.02	17.68	0	14.95	12	4
6	3	1	0.82	1.55	33.76	16.94	16.82	0.330874443	15.92	24	4
6	3	1	0.82	1.08	36.30	19.16	17.14	0.330874443	15.61	27	4
6	3	1	0.82	1.62	40.77	22.17	18.61	0.330874443	15.84	46	4
6	3	1	0.82	1.50	37.57	19.33	18.24	0.330874443	15.92	33	4
6	3	1	0.82	1.51	43.09	22.67	20.41	0.330874443	16.08	14	4
7	3	0	0	1.16	36.00	21.09	14.91	NA	14.50	35	4
7	3	0	0	1.24	38.46	21.34	17.12	NA	14.41	12	4
7	3	0	0	1.67	36.70	21.50	15.20	NA	14.63	7	4
7	3	0	0	1.48	33.00	18.79	14.20	NA	14.89	25	4
7	3	0	0	1.63	37.19	17.71	19.48	NA	13.68	19	4
7	3	1	1.02	1.69	40.23	20.66	19.57	NA	14.40	14	4
7	3	1	1.02	1.38	38.59	20.66	17.92	NA	14.60	32	4
7	3	1	1.02	1.69	29.62	15.04	14.58	NA	13.86	27	4
7	3	1	1.02	1.35	34.18	18.54	15.63	NA	14.03	23	4
7	3	1	1.02	1.32	35.72	18.13	17.59	NA	14.69	32	4
8	3	0	0	1.46	36.86	22.22	14.64	3.40	11.01	21	4
8	3	0	0	1.65	35.84	23.53	12.31	3.40	11.00	18	4
8	3	0	0	1.67	36.55	24.89	11.67	3.40	11.00	26	4
8	3	0	0	1.31	35.92	17.18	18.74	3.40	11.00	29	4
8	3	0	0	1.26	35.64	23.86	11.79	3.40	10.99	26	4
8	3	1	1.81	1.13	39.91	25.23	14.68	4.17	10.97	27	4
8	3	1	1.81	0.89	39.96	23.88	16.08	4.17	10.99	28	4
8	3	1	1.81	1.22	39.81	25.03	14.79	4.94	10.99	25	4
8	3	1	1.81	1.43	39.78	24.52	15.27	4.17	10.98	33	4
8	3	1	1.81	1.61	39.83	24.68	15.14	4.17	10.99	30	4
1	1	0	0	1.16	35.27	25.10	10.16	5.71	10.50	342	5
1	1	0	0	1.38	34.46	21.94	12.52	9.55	10.60	385	5
1	1	0	0	1.84	38.39	23.46	14.94	8.01	10.59	279	5
1	1	0	0	1.62	30.71	17.72	12.99	8.01	10.65	328	5
1	1	0	0	1.62	32.59	23.31	9.27	8.78	10.65	436	5
1	1	1	1.71	2.13	43.39	29.20	14.19	9.55	10.79	166	5
1	1	1	1.71	1.78	39.42	26.53	12.90	9.55	10.75	194	5
1	1	1	1.71	1.87	43.29	22.98	20.31	7.25	10.77	169	5
1	1	1	1.71	1.56	41.31	22.20	19.11	8.01	10.79	109	5
1	1	1	1.71	1.15	37.95	26.36	11.59	8.01	10.78	87	5
2	1	0	0	1.07	31.47	19.11	12.36	8.01	11.66	29	5
2	1	0	0	1.62	33.71	18.01	15.70	7.25	11.62	51	5
2	1	0	0	1.55	28.85	18.74	10.11	7.25	11.60	55	5
2	1	0	0	1.45	28.89	15.27	13.62	8.01	11.58	35	5
2	1	0	0	1.41	34.20	19.53	14.67	8.01	11.60	70	5
2	1	1	1.1	1.13	43.91	22.95	20.95	11.86	11.46	51	5
2	1	1	1.1	1.54	38.68	23.09	15.60	10.32	11.42	112	5
2	1	1	1.1	1.42	50.13	23.79	26.33	8.78	11.41	67	5
2	1	1	1.1	1.66	31.78	16.13	15.66	11.09	11.43	54	5
2	1	1	1.1	1.62	44.46	22.22	22.23	10.32	11.42	59	5
3	2	0	0	1.04	32.07	19.56	12.51	9.55	12.68	291	5
3	2	0	0	1.38	36.06	21.99	14.06	8.78	12.70	171	5
3	2	0	0	1.65	31.49	20.07	11.42	8.78	12.74	282	5
3	2	0	0	1.38	28.57	17.80	10.77	9.55	12.70	209	5
3	2	0	0	1.40	35.17	18.91	16.26	8.78	12.70	319	5
3	2	1	0.2	1.21	35.94	21.45	14.49	1.87	12.91	118	5
3	2	1	0.2	1.39	33.40	19.93	13.47	0.33	12.86	156	5
3	2	1	0.2	2.01	33.20	20.33	12.87	0.33	12.89	134	5
3	2	1	0.2	1.59	38.36	23.68	14.68	0.33	12.87	177	5
3	2	1	0.2	1.59	36.29	21.95	14.34	0.33	12.91	216	5
4	2	0	0	1.14	35.67	22.25	13.42	NA	NA	201	5
4	2	0	0	1.41	30.88	19.30	11.58	NA	NA	234	5
4	2	0	0	1.21	42.71	30.81	11.90	NA	NA	258	5
4	2	0	0	1.72	30.80	18.57	12.24	NA	NA	341	5
4	2	0	0	1.47	37.94	17.71	20.23	NA	NA	309	5
4	2	1	0	1.76	37.51	23.47	14.04	NA	NA	170	5
4	2	1	0	1.50	40.39	19.35	21.04	NA	NA	234	5
4	2	1	0	1.37	37.10	21.97	15.13	NA	NA	227	5
4	2	1	0	1.37	37.25	22.13	15.12	NA	NA	158	5
4	2	1	0	1.56	48.40	24.98	23.42	NA	NA	207	5
5	2	0	0	1.14	27.44	15.94	11.50	2.636084217	14.05	416	5
5	2	0	0	1.41	32.80	19.51	13.29	2.636084217	14.04	431	5
5	2	0	0	1.21	37.05	20.21	16.83	2.636084217	14.06	452	5
5	2	0	0	1.72	34.35	20.54	13.81	2.636084217	14.08	441	5
5	2	0	0	1.45	32.11	19.15	12.95	2.636084217	14.05	367	5
5	2	1	0	1.76	35.24	19.57	15.67	3.404487475	14.15	232	5
5	2	1	0	1.50	49.29	24.39	24.90	0.330874443	14.13	189	5
5	2	1	0	1.37	36.92	19.18	17.74	1.099277701	14.14	284	5
5	2	1	0	1.37	41.37	21.04	20.33	0.330874443	14.15	314	5
5	2	1	0	1.56	39.73	20.68	19.06	2.636084217	14.06	335	5
6	3	0	0	1.25	33.67	20.51	13.16	0	15.45	485	5
6	3	0	0	1.50	36.39	19.22	17.17	0.330874443	14.99	469	5
6	3	0	0	1.44	31.05	18.37	12.69	0.330874443	15.19	460	5
6	3	0	0	1.71	32.69	19.92	12.77	1.099277701	15.86	375	5
6	3	0	0	1.45	35.70	18.02	17.68	0	14.95	482	5
6	3	1	0.82	1.55	33.76	16.94	16.82	0.330874443	15.92	361	5
6	3	1	0.82	1.08	36.30	19.16	17.14	0.330874443	15.61	353	5
6	3	1	0.82	1.62	40.77	22.17	18.61	0.330874443	15.84	256	5
