Year	Birds	ID	Rainfall	Species	Island
1958	2	8	16.26	3	2
1959	10	8	21.25	3	2
1960	4	8	10.94	3	2
1961	10	8	19.93	3	2
1962	12	8	12.63	3	2
1963	10	8	20.09	3	2
1964	8	8	10.02	3	2
1965	NA	8	30.91	3	2
1966	17	8	12.49	3	2
1967	7	8	32.70	3	2
1968	44	8	18.40	3	2
1969	50	8	25.21	3	2
1970	26	8	18.61	3	2
1971	10	8	20.13	3	2
1972	NA	8	15.71	3	2
1973	7	8	10.27	3	2
1974	1	8	18.68	3	2
1975	38	8	13.74	3	2
1976	92	8	12.83	3	2
1977	113	8	11.50	3	2
1978	81	8	19.15	3	2
1979	79	8	26.82	3	2
1980	72	8	27.87	3	2
1981	84	8	12.85	3	2
1982	67	8	34.04	3	2
1983	43	8	13.05	3	2
1984	52	8	8.56	3	2
1985	67	8	20.00	3	2
1986	55	8	18.39	3	2
1987	42	8	24.31	3	2
1988	36	8	26.79	3	2
1989	32	8	40.63	3	2
1990	98	8	35.20	3	2
1991	116	8	16.09	3	2
1992	107	8	16.98	3	2
1993	129	8	12.69	3	2
1994	240	8	13.93	3	2
1995	294	8	13.45	3	2
1996	348	8	31.00	3	2
1997	210	8	23.08	3	2
1998	131	8	6.76	3	2
1999	106	8	9.66	3	2
2000	138	8	9.72	3	2
2001	132	8	10.53	3	2
2002	73	8	15.07	3	2
2003	92	8	13.83	3	2
